,sentence,classification,tokens
175,이 상황에서 어떻게 하면 좋을까요?,1,이 상황 에서 어떻다 하다 좋다
40,그리고 원래 복통이 이렇게 심한가요?,1,그리고 원래 복통 이 이렇게 심하다
192,무슨병이죠이거 아플때마다 걍 살기싫어요.,1,무슨 병 이 죠 이 거 아프다 때 마다 걍 살기 싫다
224,이유가 뭘까요?,1,이유 가 뭘 끄다
79,이것이 위험한 질병인지 아니면 어디 안좋은건지 걱정이되서 글을 씁니다.,1,이 것 이 위험하다 질병 인지 아니다 어디 안좋다 건지다 걱정 이 되다 글 을 쓰다
103,괜찮겠죠 부작용 없겠죠,1,괜찮다 부작용 없다
273,가족들이 소스향이 좀 독하다고 했었는데 이게 복통과 관련이 있는건지요?,1,가족 들 이 소스 향 이 좀 독하다 하다 이 게 복통 과 관련 이 있다 건지다
6,왜이럴까요?,1,왜 이렇다 요
272,스트레스성 복통인가요?,1,스트레스 성 복통 인가요
156,병원을 가봐야 하는걸까요?,1,병원 을 가보다 하 는걸 끄다
32,아니면 제가 심해서 이런건가요?,1,아니다 제 가 심하다 이런 건가 요
158,병원을 가봐야되나요?,1,병원 을 가보다 되다
42,내일 아침에 있을 복통이 두렵고 변기에 앉아있다 보니 지각도 자주 하게 되고 왜 이러는걸까요?,1,내일 아침 에 있다 복통 이 두렵다 변기 에 앉다 보다 지각 도 자주 하다 되다 왜 이르다 끄다
131,다른검사방법이나다른방법없을까요?,1,다른 검사 방법 이나 다른 방법 없다
236,배 않아프고 설사 안나오는 약없을까요?,1,배 않다 아프다 설사 안 나오다 약 없다
1,어떡할까요?,1,어떡하다 요
72,3 허리가 휘어서 척추측만증때문에도 등이나 복통이 올수 있나요?,1,3 허리 가 휘 어 서 척추측만증 때문 에도 등 이나 복통 이 오다 있다
173,저도 그런건지 아니면 맹장부위에 염증이 늦게라도 생길수 있는건지 궁금합니다.,1,저 도 그런 건 지 아니다 맹장 부위 에 염증 이 늦다 생기다 있다 건지다 궁금하다
237,복통이 심한데 요즘 신종플루 유행이라던데 아니겠죠,1,복통 이 심다 요즘 신종플루 유행 이라 던데 아니다
35,무슨 증상이죠 지금도 너무 아파서요.,1,무슨 증상 이 죠 지금 도 너무 아프다
256,수술 선생님은 회복기간이라 하는데 도대체왜 그런지 알수가 없습니다.,1,수술 선생님 은 회복기 간 이라 하다 도대체 왜 그렇다 알다 없다
135,병원을가봐야하나요?,1,병원 을 가보다
154,2 난소에 물혹3센치짜리나 갑상선에 있다는 0 5센치 물혹은 냅둬도 된다고 하시긴 했는데 정말 괜찮은건가요?,1,2 난소 에 물혹 3 센치 짜다 리나 갑상선 에 있다 0 5 센치 물 혹은 내다 두다 되다 하다 하다 정말 괜찮다 건가 요
49,이건 왜 이런건가요?,1,이건 왜 이런 건가 요
128,해결하는 방법은 뭔가요?,1,해결 하다 방법 은 뭔가 요
38,살덩어리를 산부인과 로 가져가서물어봐야하는지 비뇨기과로 가서물어봐야하는지요?,1,살 덩어리 를 산부인과 로 가져가다 물어보다 비뇨기 과로 가다 물어보다
14,장염인가요?,1,장염 인가요
115,좀 더 큰 병원에 가는게 낫겠죠,1,좀 더 크다 병원 에 가다 낫다
146,괜찮은건가요?,1,괜찮다 건가 요
155,이건 무슨 증세 인가요?,1,이건 무슨 증세 인가요
140,이거 어떻게 해야하죠 무슨 병입니까,1,이 거 어떻다 하다 무슨 병입 니까
113,병원가서 위나 대장 내시경 검사를 받는편이 좋을까요?,1,병원 가다 위 나 대장 내시경 검사 를 받다 편이 좋다
8,복통빨리낫는법을알려쥬세요.,1,복통 빨리 낫다 법 을 알다 쥬세 요
202,또 어떻게치료해야되나요?,1,또 어떻다 치료 하다 되다
198,생리불순이라고 생각해야하나요?,1,생리 불순 이라고 생각 하다
151,이건 급체 뭘까요?,1,이건 급체 뭘 끄다
110,복통 두통 어느 병원에 가야하나요?,1,복통 두통 어느 병원 에 가다
243,장에서 출혈이 있는 걸까요?,1,장 에서 출혈 이 있다 걸다 요
204,안에 고여있는 피가 많이 나와야할거같은데복통도 더 지속되면어쩌죠 무슨 문제가 있는건 아닐까요?,1,안 에 고여 있다 피 가 많이 나오다 야하다 같다 복통 도 더 지속 되다 쩌 죠 무슨 문제 가 있다 아니다 요
163,무슨증상인지아는분,1,무슨 증상 인지 알다 분
109,어떤 문제이고 해결법은 무엇인지 등을 알고 싶습니다.,1,어떻다 문제 이고 해결 법 은 무엇 인지 등 을 알 고 싶다
119,제가 얼마 전에 혀 밑을 수술해서하루에 죽 한 그릇밖에 못 먹은 지 4일째거든요 과식은 절대 아닐테고 원인을 모르겠는데병원에 가봐야 할까요?,1,제 가 얼마 전 에 혀 밑 을 수술 하다 하루 에 죽 하다 그릇 밖에 못 먹다 지다 4일 째거든요 과식 은 절대 아니다 원인 을 모르다 병원 에 가보다 하다 요
219,어떻게 몸을 관리하고 있는게 좋을까요?,1,어떻다 몸 을 관리 하고 있다 좋다
36,왜그럴까요?,1,왜 그렇다 요
268,무슨 증상일까요?,1,무슨 증상 이다 요
73,알고 싶네요.,1,알 고 싶다
107,수술을 해야할수도 있다고하는데 수술 외에몸관리 식단관리로는 힘들까요?,1,수술 을 하다 하다 있다 수술 외 에 몸 관리 식단 관리 로는 힘들다 요
80,그래서 필요한 지식이 복통에 좋은 약 복통 잘 나을 수 있는 방법입니다.,1,그래서 필요하다 지식 이   복통 에 좋다 약 복통 자다 나다 수 있다 방법 이다
199,아직 나이도 29에 신혼이고 아기를 무척이나 갖고싶은데 이 시술을 받아도 되는건지 걱정이 앞서네요.,1,아직 나이 도 29 에 신혼 이고 아기 를 무척 이나 갖다 이 시술 을 받다 되다 건지다 걱정 이 앞서다
76,어떻게 해야 할까요?,1,어떻다 하다 하다 요
0,어떤검사를 받아야하고 어떤병원에 가야할까요?,1,어떤 검사 를 받다 어떤 병원 에 가야 하다 요
247,식습관도 엉망진창인데 관련이 있을까요?,1,식 습관 도 엉망 진창 인데 관련 이 있다
171,항상 여행이라던지 평소 일상과 다른 생활을 하게 될때 배가 아플까봐 항상 걱정하게 되네요.,1,항상 여행 이라 던지다 평소 일상 과 다른 생활 을 하다 되다 때 배 가 아프다 항상 걱정 하다 되다
206,2저 병이 원래 이런 복통을 유발하나요?,1,2 저 병 이 원래 이렇다 복통 을 유발 하나요
17,아니면 그냥 배가 잠시아픈 단순배탈인가요?,1,아니다 그냥 배 가 잠시 아프다 단 순 배탈 인가요
177,이런 고통을 없앨방법은 없나요?,1,이렇다 고통 을 없애다 방법 은 없다
